"date";"gdp";"ind_prod_israel";"rate_euro";"rate_us";"vix";"ind_prod_us";"ind_prod_euro";"eurostoxx600";"sp500";"dxy";"us_term_spread";"spread_cpi_corp";"sovereigh_spread";"term_spread";"ils_usd_impl_vol";"ta_35_impl_vol";"boi_rate";"credit";"house_price";"ta125_close"
"25";"2003 Q1";181968.373;68.94977;2.76683;1.25;30.02262;93.83627;95.9;188.13;860.76033;100.19203;2.2816;2.744021784;3.71011;0.7612;0.10561;27.69050133;8.88925;712.81659;191.5;324.38806
"26";"2003 Q2";181470.998;68.67831;2.44177;1.23352;21.53127;93.13503;94.73333;196.76349;937.9946;95.79446;2.20366;2.635184288;3.03308;-0.82022;0.10284;27.86895708;8.32599;692.99346;183.46667;410.79964
"27";"2003 Q3";182891.003;68.55492;2.06545;1;19.32016;93.75263;95.03333;211.70333;1000.37906;96.21439;2.55389;2.039270838;2.36047;0.05196;0.08939;24.38294833;6.94645;691.0635;184.33333;425.53141
"28";"2003 Q4";183528.965;70.1343;2.01547;1;17.42719;94.6693;96.8;221.96156;1056.45313;90.72288;2.44062;2.151110591;2.23744;0.05245;0.06711;21.84793425;5.6048;695.56031;182.2;489.09938
"29";"2004 Q1";187842.634;73.48068;2.01891;1;16.65806;95.334;96.93333;238.02406;1132.67177;87.12769;2.33863;2.095980163;2.5076;0.76419;0.06062;19.61597567;4.51446;702.40121;183.53333;566.21476
"30";"2004 Q2";189618.761;73.81312;2.03953;1.00275;16.23016;95.879;97.86667;240.27;1123.19645;89.79508;2.15572;2.088919857;2.38424;1.06122;0.0539;16.567734;4.1;710.70013;186.93333;575.69877
"31";"2004 Q3";192065.558;73.67261;2.05333;1.41848;15.44219;96.4129;97.83333;235.23091;1103.90828;88.62212;1.75886;1.594148573;2.48471;1.25757;0.04314;15.54912108;4.1;718.02393;185.1;565.83458
"32";"2004 Q4";194370.217;75.35848;2.08242;1.94022;13.65141;97.78497;97.86667;246.04015;1162.65219;83.93833;1.35644;1.295626864;2.61593;1.1633;0.05896;15.98452083;4.0157;721.56503;180.4;585.89254
"33";"2005 Q1";195623.146;77.60492;2.06419;2.43889;12.78705;99.18483;98.13333;260.27242;1191.94787;83.22359;0.85575;0.968438692;2.18018;1.77591;0.05741;16.36442475;3.55591;728.63947;180.1;663.78354
"34";"2005 Q2";197672.354;77.41006;2.06923;2.91484;13.40734;99.68733;98.83333;266.03338;1181.97344;86.156;0.51589;1.169270952;2.10243;1.55991;0.04727;13.76287408;3.5;747.72413;183.73333;681.96667
"35";"2005 Q3";200008.91;77.17721;2.07576;3.42391;12.25078;99.2302;99.26667;286.58742;1224.17453;88.51909;0.26279;1.302580362;1.76665;1.58673;0.06351;19.19022583;3.50556;772.93449;186.06667;707.36953
"36";"2005 Q4";203401.466;78.34789;2.14203;3.96739;12.78175;100.1934;100.7;298.60594;1230.46825;90.72;0.13078;1.095001564;1.62259;0.76433;0.05744;16.37044725;4.09677;795.13187;187.66667;784.01339
"37";"2006 Q1";207100.063;78.65925;2.402;4.42778;12.04242;101.1349;101.53333;324.83662;1283.6571;89.80523;-0.0246;0.976787294;1.64427;0.51172;0.05779;17.2351315;4.68817;805.92503;189.16667;840.60476
"38";"2006 Q2";211081.097;80.8462;2.63468;4.89835;14.52873;101.7432;103.3;325.0681;1280.79619;86.27062;0.08061;0.881805432;1.38446;0.07306;0.06555;15.95885483;5.17778;820.79116;186;864.44534
"39";"2006 Q3";209605.068;82.87517;2.94185;5.25;13.60794;102.12993;103.73333;328.16462;1288.33937;85.48369;-0.03595;0.978504258;1.54802;-0.00352;0.07135;20.86599392;5.43011;827.1174;185.36667;816.02667
"40";"2006 Q4";213000.984;87.41235;3.3627;5.25;11.03492;102.35493;104.83333;355.70952;1388.63698;84.88154;-0.10837;1.034007927;1.32432;-0.09501;0.06425;15.8692825;5.20959;840.91907;180.4;917.04094
"41";"2007 Q1";217398.222;87.89764;3.60906;5.25;12.56361;103.25727;106.3;371.66125;1424.38148;84.202;-0.08321;1.045394065;1.02426;0.14643;0.06106;15.57377049;4.25;870.33486;179.3;965.9373
"42";"2007 Q2";220898.879;88.17709;3.85532;5.25;13.7319;104.5251;106.76667;389.8419;1497.17841;82.25472;0.04497;1.17450154;0.6315;0.31453;0.08345;16.82143;3.73342;894.59391;180.63333;1086.70754
"43";"2007 Q3";224949.694;89.34953;4.04694;5.17935;21.58921;104.81313;107.96667;377.48554;1489.46349;80.41406;0.34777;1.541533357;1.17433;0.89257;0.09436;18.52542;3.77151;936.5552;185.93333;1078.14885
"44";"2007 Q4";227955.264;91.7178;3.95066;4.52446;22.03;105.1322;108.43333;372.78375;1495.74703;76.7798;0.77871;1.624350405;1.55953;0.51317;0.09561;18.03226;4.01344;949.38473;183.56667;1150.84047
"45";"2008 Q1";229906.865;96.50591;4.04506;3.21703;26.12016;104.7443;109.3;321.34339;1350.66164;74.75349;1.62431;1.846298802;2.00027;1.18921;0.13514;22.0625;4.04496;960.2872;187.5;1015.36862
"46";"2008 Q2";230647.868;96.77827;4.00084;2.07967;20.67297;103.2004;108.06667;315.36277;1371.6275;72.70505;1.46519;1.860585353;1.72814;2.34705;0.14241;21.48214;3.35529;972.12653;192.3;1009.93983
"47";"2008 Q3";230964.113;96.81813;4.25271;2;25.07344;99.8007;105.53333;278.66848;1252.02;75.56062;1.50089;2.362521454;1.58685;1.84058;0.13638;23.14516;4.01344;1002.28698;201.53333;903.86016
"48";"2008 Q4";229516.208;92.57627;3.17303;1.05978;58.60516;95.53193;98.53333;209.32813;911.97734;84.07445;2.00502;4.34798639;1.22909;0.11894;0.19211;45.67273;3.1871;1026.86597;203.33333;619.4222
"49";"2009 Q1";229612.064;86.68863;1.374;0.25;45;90.16783;89.33333;183.45968;807.6659;85.65056;1.81513;4.680363518;1.16529;1.20413;0.16628;31.31177;1.11742;1016.45067;207.1;608.60984
"50";"2009 Q2";231609.75;84.74781;0.77156;0.25;33.01571;87.59843;88.23333;202.12603;892.60143;82.46545;2.30209;3.914075613;1.29464;3.50371;0.13662;27.67828;0.5;1006.43935;216.2;766.03931
"51";"2009 Q3";233896.965;87.69853;0.35623;0.25;25.48625;88.91463;90.16667;226.83894;995.74828;78.35886;2.49151;3.34633273;1.1489;4.09624;0.13464;24.70148;0.59677;1013.39098;228.43333;873.57823
"52";"2009 Q4";237002.235;91.8868;0.35849;0.25;23.07016;90.31013;91.43333;245.19569;1088.72328;76.07268;2.59017;3.143883114;1.23174;3.0625;0.1025;21.58197;0.84991;1026.21913;240.36667;998.70015
"53";"2010 Q1";240277.427;97.72704;0.34425;0.25;20.14967;92.08583;93.36667;253.02698;1123.59361;79.571;2.80142;2.553735728;1.1776;2.58608;0.08409;16.30754;1.25;1019.79349;249.56667;1104.20689
"54";"2010 Q2";243632.723;102.45143;0.35049;0.25;26.39143;93.89433;95.96667;254.02476;1134.58492;84.3928;2.61761;2.840014078;1.03866;2.6654;0.0905;18.38407;1.5;1035.06861;258.13333;1066.72271
"55";"2010 Q3";246356.984;97.32068;0.45344;0.25;24.28359;95.1207;96.8;256.09985;1096.24688;82.12358;2.2384;2.46776;0.88953;2.67228;0.077;15.51224;1.67751;1056.78233;266.33333;1056.57356
"56";"2010 Q4";249849.551;96.75542;0.59427;0.25;19.31844;95.43637;98.86667;269.99591;1204.58563;78.69453;2.37873;2.12642;1.21996;2.32564;0.08652;14.99754;2;1072.66036;275.06667;1172.20138
"57";"2011 Q1";252982.371;101.23465;0.67391;0.25;18.61484;95.97203;99.86667;281.18766;1302.52887;77.69463;2.76274;1.8723;1.37942;2.46179;0.09338;15.42797;2.2837;1092.26843;285;1206.83234
"58";"2011 Q2";255253.957;100.73848;1.04475;0.25;17.48238;96.35727;99.73333;276.02413;1318.33286;74.78065;2.63889;2.0585;1.95806;2.18172;0.09815;14.25298;3.09946;1103.83499;291.8;1154.58982
"59";"2011 Q3";260041.235;99.84462;0.97274;0.25;30.58359;97.4839;99.76667;242.96424;1225.26844;75.28865;2.13009;3.07446;2.25088;1.7342;0.11412;22.80323;3.25;1128.37775;292.83333;1031.43726
"60";"2011 Q4";261530.333;99.86921;0.79217;0.25;29.93952;98.45103;98.8;236.12922;1225.65111;78.26429;1.77541;3.68488;2.33866;1.16399;0.10753;26.73525;2.91935;1139.7709;289.83333;988.83574
"61";"2012 Q1";261835.259;99.90534;0.36749;0.25;18.20403;99.3893;98.2;260.74092;1348.78355;79.62674;1.73917;3.62105;2.47521;1.65576;0.09466;19.36548;2.5672;1156.84458;291.33333;1013.725
"62";"2012 Q2";261316.658;104.45603;0.33781;0.25;20.03571;100.02193;97.76667;248.79968;1349.67857;80.89095;1.52561;3.82023;2.66785;1.89482;0.10046;18.72475;2.49167;1174.30366;295.06667;1014.48574
"63";"2012 Q3";263952.416;107.18069;0.13186;0.25;16.1927;100.0321;97.6;265.46015;1400.94286;81.74995;1.37074;4.33004;2.67105;2.25097;0.11577;16.22881;2.25;1185.40328;300.43333;991.06441
"64";"2012 Q4";265853.571;103.54957;0.08138;0.25;16.765;100.55667;95.5;273.82094;1418.13903;80.05761;1.42925;3.2433;2.51234;1.81022;0.11648;14.6081;2.06989;1188.11062;310.16667;1073.76762
